start	end	text
672	1112	Jane?
1773	2394	Mark?
3034	3735	Hi!
3775	6117	It's been ages since I last saw you.
6177	8199	How are you and Jackie?
8560	9420	Yeah, good thanks.
10161	12343	And your new baby, George, isn't it?
13184	14045	You've got a good memory.
14485	15486	Yes, he's two now.
15967	16567	What about you?
16868	18389	Are you still working in the health centre?
19090	22433	Yes, for the time being, but we're moving in a couple of months.
23394	24395	Anyhow, I'd better go.
24415	25376	I'm late for work.
25996	27217	Lovely to see you again.
27237	28739	Yeah, likewise.
29059	29920	Keep in touch.
