start	end	text
31	4999	If you're applying to medicine in the UK, you're probably wondering what an online interview is actually like.
5440	16758	Although there are lots of resources and they can tell you what subjects are going to come up, there's nothing out there that's going to show you from your perspective what you're going to experience when you go through your online medicine interview.
17339	25853	Until now, I've managed to get permission to share with you a real interview and from the point of view of the interview, what it's going to feel like,
25833	35905	the kind of thing that's going to happen and what happens when you do an online interview exactly the progression and how it feels, how it happens so that you can prepare and know exactly what's coming.
36025	52785	If you want some help and have an interview like this simulated reach out to us because we're doing an interview crash course to get people ready but for now you can watch this video where you can see exactly what an interview is like enjoy try and learn from it as much as possible and hopefully it can help prepare you for your real interview on the day.
52765	55788	So you're going to see everything as the interviewee sees it.
55808	61935	So the questions as they pop up, the stations as they rotate through them, the different panels as they move through those.
62035	63757	But otherwise, I hope you find this useful.
64158	68423	Let's see if from going through the video you can guess which university this interview belongs to.
68823	79515	But otherwise, enjoy and I will see you at the end.
79799	82304	Nice to meet you.
82384	84669	Looking down at any points because we're just taking notes.
86673	93025	So your first question is, can you tell us about a time when you've disagreed with someone at home, school or work?
93366	95310	So what happened and how has it resolved?
96522	99525	I guess I have a pretty good example for this.
99826	106172	I have a pretty close personal friend, we've been friends for a few years now, I think probably six, seven, eight years.
107033	113320	And he was quite strongly against taking the COVID vaccinations.
113841	119627	And it was just the COVID vaccination specifically, he's not anti-vax, he's had his shots when he was younger.
119607	134308	But when this came up, obviously it had been coming up quite a lot throughout COVID, you know, we're saying you need to get your vaccine, there's people falling out, you might fall ill, we're concerned for you.
134845	138732	literally the last whole two years, he's just been saying, no, I'm not getting vaccinated, I'm not doing it.
138973	151176	And from my understanding now, it's just because he's against Pfizer and these big pharmaceutical companies, he has some kind of pretty suspicious thing against feeding into these mega pharmaceutical companies.
152058	153360	And obviously,
153931	183010	me being the medical friend in the group I've tried to speak to him separately like out away from everyone else like you know this is going to be good for your health I understand that you might have these problems with these companies but at the end of the day it's fair and good and you know it's not like you don't interact with these sort of companies in another scenario for example he uses Instagram and in my opinion that could be just as harmful or more harmful than feeding it to Pfizer honestly and
182990	188559	You know, we did have a big conversation about this and we did go back and forth.
188619	194969	But at the end of the day, I recognized that he was just so stuck in his view.
195169	199176	There wasn't really anything I could say to him that would be able to convince him otherwise.
199416	201760	And unfortunately, he still hasn't got his vaccine.
201860	207529	And as a result, he didn't manage to go on a trip with the rest of the group to Europe.
207509	222099	So he was left out during that, and that was quite unfortunate that I hadn't been able to convince him, but I recognize that if I kept pushing and trying to get him to do this, honestly, like we've been going on for two years, it's not going to change anything.
222199	228572	And I didn't want to keep patronizing him because clearly he wasn't going to change his mind, which is quite unfortunate, honestly.
228890	241958	Thank you and obviously from this example you kind of said that unfortunately it didn't work out but why do you think it's kind of important for doctors to need to be able to be good at working with other people?
243401	247911	Yeah well I think it's important to be able to work with
248178	254267	difficult patients just because at the end of the day, as doctors, we're trying to work in their best interest.
254287	259634	And sometimes they may be difficult simply because they don't understand the situation.
260115	271571	So it's important to make sure that the patients that you're speaking to fully understands what's going on with them, what options they have available, and what's happened so far, so that they fully understand the situation.
271631	276818	And then they might be able to
277186	282360	come to see what you're saying as the doctor, what recommendations you're making, they might be able to understand it a bit better.
283302	293389	And as the doctor, you're just there to be the caregiver, you're not there to change ideologies, you're
293673	296417	you're just there to help improve the health of a patient.
296517	318347	So obviously if they're very strongly against an idea, for example, just because of religious background or some kind of something that's happened in the past, I think it's good to be able to deal with that without bringing, sorry.
318935	334154	without angering the patient, I think it's important to be able to explain your viewpoint correctly and in a way that they can understand so that they can potentially bring down the level because if they understand the situation, if they understand you're there to help them, then their life's going to be difficult.
335516	335716	Thank you.
336216	341303	And my last question is, can a doctor ever have too much empathy and respect for a patient's views?
342925	346309	Too much empathy and respect for a patient's views.
347892	352270	I think definitely too much respect for patients who use I can see that happening.
353756	357531	For example, if if it's something relatively minor.
358102	383097	um like oh I'm scared of needles I don't want to get this injection and then the doctor's like okay you don't want you don't want it okay we won't uh I think that's that's that's a bit too far um in that case it's kind of unreasonable where like if if you haven't asked to see you know why why are you scared of these needles why do you not want to if you just son if you just straight away um
383077	400692	conform to whatever the patient wants without finding out why or finding out what the reasons are, then it can be harmful because at the end of the day, potentially this injection could have been very helpful for, I don't know, finding out some more details about the condition that they have or something else along those lines.
401873	406737	And in terms of too much empathy, that's a difficult question, honestly.
406797	412122	I think it can become a problem at some point.
413384	417748	Obviously, if you're... Hi, sorry, I'm gonna have to cut.
417768	417968	Sorry.
418829	419289	Okay, that's fine.
420430	420550	Sorry.
420570	426135	For the next question, it's a hypothetical scenario, so I'm going to read out to you first.
427417	427517	Okay.
427537	429478	One of the junior doctors on the hospital ward.
430119	441349	The day after his surgery, a 70-year-old man is transferred to intensive care with a life-threatening pulmonary embolism, which is a blood clot in the chest.
441751	453028	During a routine meeting, the consultant reviewing the complication identifies that one of the junior doctors has failed to prescribe the medication required to prevent this type of blood clot.
453048	461061	So the question is, firstly, how will you respond personally knowing that your lack of action has had serious implications for a real person?
463584	463945	Well,
465005	471194	I think I believe it's called duty of candle where it's expected of a doctor to be all about their mistakes.
471694	480267	So I think especially for us in the situation personally, I would I would make sure to say to the consultant and when appropriate to the patient, look, I've made this mistake.
480347	482410	I failed to prescribe this medicine.
482550	483511	This is this is on me.
484853	487116	So I think I would go to the consultant and explain that.
487276	491923	And I think it's important to turn up in that situation because it's it's quite serious.
493169	496699	Well, even if it wasn't serious, I think it's important to note just for the sake of clarity.
499747	509052	You partly answered this, but just in case you had anything else to add to it, why do you think it's important for doctors to lay this duty of Canada, so ending up to their mistakes?
509943	514529	Yeah, I think it's important and I think two main ways.
514709	529268	So one being transparency to the patient and the public, it ensures or helps ensure that the patients trust the doctors because if they've made a mistake and they're trying to cover up or they're not making it obvious or they're just not telling you as the patient.
529248	548001	then they're going to lose trust because obviously you've gone and made a mistake and then you're not telling them they're just next time they might not even come to the doctors because they've had bad experiences in the past now they won't trust the doctors because they think oh they're just going to lie to me or they're just not going to help me because they have made a mistake last time.
549062	553450	And it's also important in terms of I think
554020	555584	your own self-improvement as well.
555986	566275	You need to be honest with that mistake and being able to be honest with that will help you improve in the future because then people can help correct you with that.
567436	588907	And I guess as well, it would be important for the sake of the patient and that specific scenario and the care that you're going to do to the patient because if you've made a mistake, for example, I guess it's not exactly the scenario, but if you've given the wrong prescription rather than not a prescription at all, then it might have different side effects and different interactions with some sort of other care that you might have to provide to the patient.
590249	596177	So yeah, I think there are definitely multiple reasons that you should have to be as clear as you can with any mistakes they make.
597440	598522	Okay, thank you.
599063	608161	Your next question is, how would you inform your fellow staff members, say, following on about this scenario that I read at the start?
608221	617459	Okay, so I think, as I said, I'd probably go first to the consultant just because he's the one that highlighted the problem in the first place.
618601	620224	And
621622	640190	Yeah, after I've spoken to him, unless he's already made this disclosure that I've made the mistake, I think, maybe I'm not sure if this would be the most appropriate place, as obviously I haven't been in the scenario myself, but potentially at the next MDT meeting, because then everyone that's concerned with that patient's care is going to be present.
640831	643154	And then you can, you can be completely honest with everyone.
643174	644176	Look, I've made this mistake.
644196	647781	This is what's happened as a result of my mistake.
648790	662692	And then everyone who's concerned will be enlightened as to the situation and then we can move forward there with dealing with the problem and everyone can work together as the MDT to be able to provide the best care considering the situation that's happened.
664735	665577	Okay, thank you.
666318	669803	And have you ever made any mistakes that have impacted other people?
669844	672047	And how did you overcome this?
673124	679150	Yeah, so I made a mistake back in, it was during my A level.
679210	688840	So I, as I would often read ahead in class, I would be quite well informed as to the subjects that we're covering and especially during tests that would help me out quite a lot.
689441	698631	And as a result, my friends that I had in the subjects, they would come to me for help with revision or if they found something particularly difficult, they'd say, hey, can you explain this to me?
698671	700853	Can you help me with this question?
